pca1,pca2,pca3,pca4,pca5,pca6,pca7
-6109.058675,-59.64865519,-39.6750939,26.22285241,36.23308662,-1.363613542,-0.020939678
-6631.019178,-57.60664814,2.80672973,52.77290922,-7.228134664,-1.086444324,0.035221584
2002.928826,-71.77701041,3.282005025,-39.4711221,-12.53582776,0.93268493,0.000886104
313.9629776,-60.04222739,-33.67293121,50.80564148,-7.254314991,-0.846691019,0.035967884
-1859.095947,-70.68078029,-30.15015166,-52.97049864,-14.64094653,1.209987197,0.017687522
-688.0599164,-61.91513395,-44.33901436,26.80931186,39.10156365,-1.315088467,-0.031920209
33.95736329,-71.68046918,54.52207431,-34.72687683,-26.03817885,0.982970583,0.007091492
-507.0282022,-55.66177149,-43.33392754,83.72015175,68.33803353,-2.967590546,-0.054551456
-1066.055194,-62.7678963,-29.19016109,21.17238754,30.01804373,-1.061658519,-0.022581278
-1481.090136,-70.37973698,-25.17569909,-47.55513316,-16.49582787,1.143488166,0.019619587
-1371.06615,-52.9286453,-32.12791833,-9.609012726,2.339795671,0.086218813,0.006264758
6667.939705,-77.74635776,50.54629064,-63.23927485,-24.51682366,1.630791932,-0.013036309
5807.932031,-67.32672446,-38.03903858,5.994403397,39.45669608,-0.810025666,-0.051369378
5369.896216,-75.37995948,-33.90195184,-66.54642658,-24.66489457,1.816393895,0.017537301
4022.931514,-66.79362163,-43.56688563,2.994133349,-17.81406032,0.357047023,0.034053236
4051.954592,-62.77040137,-31.45241538,41.20300535,53.03912018,-1.790967618,-0.059624234
